pocket,critic_r0__own,critic_r0__cross,critic_r0__specificity,control_r0__own,control_r0__cross,control_r0__specificity
complex_000001,-7.5420345,-7.765062,-0.2230275000000006,-7.809323000000001,-8.1737245,-0.3644014999999996
complex_000026,-7.7874905,-7.274618,0.5128724999999994,-7.564126,-7.383528,0.18059799999999981
complex_000051,-7.607269,-7.692366833333334,-0.0850978333333341,-7.561469,-7.626581166666667,-0.06511216666666719
complex_000063,-6.916383000000001,-7.158554833333333,-0.24217183333333203,-6.9629175000000005,-7.291372666666667,-0.3284551666666662
complex_000069,-8.2768175,-7.2857631666666665,0.9910543333333335,-7.5896585000000005,-6.714900833333333,0.8747576666666674
complex_000112,-7.0744895,-7.0929915,-0.018501999999999796,-7.2749335,-7.436205833333333,-0.1612723333333328
complex_000117,-7.264409000000001,-7.251319499999999,0.013089500000001308,-7.696446,-7.733717666666666,-0.03727166666666637
complex_000140,-9.138932,-7.905692166666666,1.233239833333334,-8.5654205,-7.84885725,0.7165632500000001
complex_000148,-7.336965999999999,-7.980531833333333,-0.6435658333333336,-6.7828085,-7.582521166666667,-0.7997126666666672
complex_000149,-7.2572785,-6.402869333333333,0.8544091666666667,-7.7272245,-7.355594999999999,0.37162950000000095
complex_000165,-6.827120000000001,-7.080408,-0.2532879999999995,-5.459353500000001,-7.272059666666666,-1.8127061666666657
complex_000170,-9.2934455,-7.181779333333334,2.1116661666666667,-7.649003,-6.8476515,0.8013515000000009
complex_000177,-7.205277,-7.520652833333333,-0.3153758333333334,-7.4554124999999996,-7.574573,-0.11916050000000045
complex_000179,-8.816848,-6.632154666666667,2.1846933333333336,-8.3774305,-6.90426,1.4731704999999993
complex_000191,-5.40689,-6.426608666666667,-1.0197186666666669,-5.4019935,-6.426745833333333,-1.0247523333333337
complex_000193,-6.420668000000001,-6.483324666666666,-0.06265666666666547,-6.2605745,-6.202563333333333,0.058011166666666725
complex_000223,-4.670251,-6.173522,-1.5032709999999998,-4.7119085,-6.471879166666667,-1.7599706666666668
complex_000266,-7.756838999999999,-7.2599244999999994,0.4969144999999999,-7.568645999999999,-6.999724333333333,0.5689216666666663
complex_000269,-6.264196,-7.8226743333333335,-1.5584783333333334,-6.226326500000001,-7.6611515,-1.4348249999999991
complex_000292,-5.794682,-6.303858166666667,-0.5091761666666672,-6.042305499999999,-6.647556833333334,-0.6052513333333343
complex_000305,-8.5489255,-7.630965166666667,0.9179603333333324,-8.425011000000001,-7.691154833333333,0.7338561666666683
complex_000335,-5.570254,-6.3689219999999995,-0.7986679999999993,-5.8965905,-6.708507333333333,-0.8119168333333331
complex_000363,-9.491051,-7.955074166666666,1.5359768333333346,-8.9376655,-7.432293333333333,1.5053721666666666
complex_000374,-8.8670285,-7.146994833333333,1.7200336666666667,-8.240848,-6.720495,1.520353
complex_000376,-7.419692500000001,-6.330183333333333,1.0895091666666676,-7.8138655,-6.471675,1.3421905
complex_000382,-8.8601795,-7.402423833333333,1.4577556666666664,-9.368643,-7.8012655,1.5673775
complex_000387,-8.5255115,-7.313199333333333,1.212312166666667,-8.365576,-7.104875333333334,1.2607006666666667
complex_000394,-7.293815,-7.5510625000000005,-0.2572475000000001,-7.8875945000000005,-8.409555166666667,-0.5219606666666667
complex_000403,-7.3667935,-6.801292666666667,0.5655008333333331,-7.556646000000001,-7.078946333333334,0.4776996666666671
complex_000411,-7.430604499999999,-6.5654580000000005,0.8651464999999989,-7.6376425,-6.8892465,0.7483960000000005
complex_000426,-7.482921500000001,-7.182178833333333,0.30074266666666727,-7.981908,-7.418048333333333,0.5638596666666666
complex_000456,-7.452215,-7.579457666666667,-0.1272426666666675,-7.419602500000001,-7.454437833333333,-0.03483533333333266
complex_000472,-9.160416999999999,-7.035875666666667,2.1245413333333323,-8.7346275,-7.282897666666667,1.4517298333333333
complex_000473,-6.772749500000001,-7.567376333333333,-0.7946268333333322,-6.6324035,-7.245496,-0.6130925000000005
complex_000477,-6.6966655,-6.369555500000001,0.32710999999999935,-6.87453,-6.307515666666666,0.5670143333333337
complex_000506,-6.2054845,-5.893371833333333,0.3121126666666667,-6.172186999999999,-6.314709,-0.14252200000000048
complex_000535,-7.392328000000001,-7.7731390000000005,-0.38081099999999957,-8.1532145,-8.264455333333334,-0.11124083333333346
complex_000540,-7.8333129999999995,-8.042616333333333,-0.20930333333333362,-7.6615345,-7.856346666666667,-0.1948121666666669
