pocket,seed,critic_spec,control_spec,critic_own,control_own,critic_cross,control_cross,delta_spec,delta_own,delta_cross
complex_000001,r0,0.3224858333333333,1.1632963333333333,-7.495818,-8.0301525,-7.1733321666666665,-6.8668561666666665,-0.8408104999999999,0.5343344999999999,-0.30647599999999997
complex_000001,r1,0.1787451666666664,0.9549554999999996,-7.6527895,-7.406522,-7.474044333333333,-6.4515665,-0.7762103333333332,-0.24626750000000008,-1.0224778333333324
complex_000001,r2,0.4599760000000001,0.7767318333333346,-7.5570205,-7.505576,-7.0970445,-6.728844166666666,-0.3167558333333345,-0.05144450000000056,-0.36820033333333413
complex_000026,r0,0.1094030000000003,-0.1023226666666659,-7.680652,-7.745927,-7.571249,-7.848249666666666,0.2117256666666662,0.06527499999999975,0.277000666666666
complex_000026,r1,-0.1157331666666667,0.1111340000000007,-7.6622855,-7.4493255,-7.778018666666667,-7.3381915,-0.2268671666666674,-0.2129600000000007,-0.4398271666666673
complex_000026,r2,-0.3340173333333336,-0.216883833333334,-7.762745499999999,-7.811655999999999,-8.096762833333333,-8.028539833333333,-0.11713349999999961,0.04891049999999986,-0.0682229999999997
complex_000051,r0,0.4529906666666656,-0.2153653333333327,-8.079588,-7.8707385,-7.626597333333334,-8.086103833333333,0.6683559999999983,-0.20884949999999947,0.45950649999999893
complex_000051,r2,0.3330261666666674,-0.4102336666666666,-8.1008425,-7.204602,-7.767816333333333,-7.614835666666666,0.743259833333334,-0.8962405000000002,-0.1529806666666671
complex_000059,r0,1.5257485000000006,1.5528606666666676,-8.788213500000001,-8.609818,-7.262465000000001,-7.056957333333333,-0.027112166666666937,-0.1783955000000006,-0.20550766666666753
complex_000059,r2,1.2068209999999997,1.1363996666666658,-8.19482,-8.4259525,-6.987999,-7.289552833333333,0.07042133333333389,0.2311324999999993,0.3015538333333323
complex_000063,r0,-0.5007308333333338,0.1648004999999992,-6.976659499999999,-7.183487,-7.477390333333333,-7.0186865,-0.665531333333333,0.20682750000000105,-0.45870383333333287
complex_000063,r1,-0.4907598333333336,0.1347815000000007,-7.179968,-7.2304975,-7.670727833333333,-7.095716,-0.6255413333333343,0.05052950000000056,-0.575011833333333
complex_000063,r2,-0.5221838333333331,0.0498599999999997,-6.934666,-7.1300105,-7.456849833333333,-7.0801505,-0.5720438333333328,0.19534450000000003,-0.37669933333333283
complex_000069,r0,0.2706329999999983,0.7847616666666664,-8.4884095,-8.1437195,-8.217776500000001,-7.358957833333333,-0.514128666666668,-0.34468999999999994,-0.858818666666668
complex_000069,r1,0.1086930000000006,0.6509716666666661,-7.822185500000001,-7.263752999999999,-7.7134925,-6.612781333333333,-0.5422786666666655,-0.5584325000000021,-1.1007111666666667
complex_000069,r2,0.4778190000000002,0.9070271666666674,-6.989938,-7.9418875,-6.512119,-7.034860333333333,-0.42920816666666717,0.9519494999999996,0.5227413333333324
complex_000085,r0,0.4809638333333339,1.740913333333333,-8.850215500000001,-9.4861065,-8.369251666666667,-7.745193166666667,-1.2599494999999992,0.6358909999999991,-0.6240585000000003
complex_000085,r1,1.036861,1.8026868333333328,-9.3067915,-9.8638625,-8.2699305,-8.061175666666667,-0.7658258333333328,0.5570710000000005,-0.208754833333332
complex_000085,r2,1.1213018333333356,1.4732104999999995,-9.849509,-8.8866575,-8.728207166666666,-7.413447000000001,-0.351908666666664,-0.9628514999999993,-1.314760166666665
complex_000112,r0,-0.226712,-0.9639290000000004,-7.1847175,-6.750897999999999,-7.4114295,-7.714827,0.7372170000000003,-0.43381950000000025,0.3033975
complex_000112,r1,-0.0194298333333335,-0.3004305000000009,-7.2133905,-7.160970999999999,-7.232820333333334,-7.4614015,0.2810006666666674,-0.05241950000000095,0.2285811666666664
complex_000112,r2,-0.4127706666666668,-0.8617011666666663,-6.975362,-7.205567500000001,-7.388132666666666,-8.067268666666667,0.4489304999999995,0.23020550000000117,0.6791360000000015
complex_000117,r0,0.2107410000000005,0.2595644999999988,-7.0058525000000005,-7.335617999999999,-6.7951115,-7.0760535,-0.0488234999999983,0.3297654999999988,0.28094200000000047
complex_000117,r1,0.6966158333333325,0.0900974999999997,-7.642992,-7.603194999999999,-6.946376166666667,-7.5130975,0.6065183333333328,-0.03979700000000097,0.5667213333333327
complex_000117,r2,0.1444438333333328,0.3464261666666663,-7.696457,-7.901874999999999,-7.552013166666667,-7.555448833333333,-0.2019823333333335,0.205417999999999,0.0034356666666663926
complex_000140,r0,0.4205330000000007,0.9469475000000012,-9.2424305,-8.4738085,-8.8218975,-7.526860999999999,-0.5264145000000005,-0.7686219999999988,-1.295036500000001
complex_000140,r1,0.4593199999999999,1.1032099999999998,-8.928992,-8.9130945,-8.469672,-7.8098845,-0.6438899999999999,-0.015897499999999454,-0.6597874999999993
complex_000140,r2,0.8966731666666661,0.9143340000000002,-9.4128305,-7.8737375,-8.516157333333334,-6.9594035,-0.017660833333334125,-1.5390930000000003,-1.5567538333333344
complex_000141,r0,-0.3487546666666663,-0.1376575000000004,-7.268442500000001,-7.182485,-7.617197166666667,-7.3201425,-0.21109716666666592,-0.08595750000000102,-0.2970546666666669
complex_000141,r1,-0.275886166666667,0.0687778333333328,-7.4740965,-6.9841675,-7.749982666666667,-6.915389666666667,-0.3446639999999998,-0.48992900000000006,-0.8345929999999999
complex_000141,r2,-0.3315268333333332,-0.032357000000001,-7.137832,-7.016463999999999,-7.469358833333334,-7.048821,-0.2991698333333322,-0.12136800000000125,-0.4205378333333334
complex_000145,r0,-1.358642333333334,-1.0438668333333334,-5.365422499999999,-5.217436,-6.724064833333333,-6.261302833333334,-0.31477550000000054,-0.14798649999999913,-0.4627619999999997
complex_000145,r1,-1.7550375000000005,-0.5637716666666668,-5.6051965,-5.257289,-7.360234,-5.821060666666667,-1.1912658333333337,-0.3479074999999998,-1.5391733333333333
complex_000145,r2,-1.422377833333334,-0.7089228333333333,-5.509002499999999,-5.6437665,-6.931380333333333,-6.352689333333333,-0.7134550000000006,0.13476400000000055,-0.5786910000000001
complex_000148,r0,-0.6110938333333333,0.1971805000000008,-7.182815,-6.587493,-7.793908833333333,-6.390312499999999,-0.8082743333333342,-0.5953219999999995,-1.4035963333333337
complex_000148,r1,-0.528290666666666,0.1953233333333335,-6.7914330000000005,-7.000209,-7.319723666666666,-6.804885666666666,-0.7236139999999995,0.2087759999999994,-0.5148379999999992
complex_000148,r2,-0.4997143333333342,0.2309621666666661,-6.767338499999999,-6.9498465,-7.267052833333333,-6.7188843333333335,-0.7306765000000003,0.18250800000000034,-0.5481684999999992
complex_000149,r0,0.6336663333333332,1.0404680000000006,-7.956163999999999,-8.0852225,-7.322497666666666,-7.0447545,-0.4068016666666674,0.12905850000000108,-0.2777431666666663
complex_000149,r1,0.8264683333333327,0.7696191666666676,-7.761676,-8.040172,-6.935207666666667,-7.270552833333332,0.05684916666666506,0.2784960000000005,0.3353451666666647
complex_000149,r2,0.4783888333333337,1.1535243333333325,-8.0136415,-7.9536225,-7.535252666666667,-6.800098166666667,-0.6751354999999988,-0.06001900000000049,-0.7351544999999993
complex_000165,r0,-0.6370373333333328,-0.1877666666666657,-6.680479,-6.539118500000001,-7.317516333333333,-6.7268851666666665,-0.4492706666666671,-0.14136049999999933,-0.5906311666666664
complex_000165,r1,-0.6694670000000009,0.806226333333333,-6.121496,-7.132386,-6.7909630000000005,-6.326159666666666,-1.475693333333334,1.0108900000000007,-0.4648033333333341
complex_000165,r2,0.0707691666666674,1.0057398333333325,-6.964999000000001,-7.587765999999999,-6.894229833333333,-6.582026166666667,-0.9349706666666651,0.6227669999999987,-0.3122036666666661
complex_000170,r0,0.9735633333333328,1.1634283333333322,-9.219357,-8.346751999999999,-8.245793666666666,-7.183323666666666,-0.1898649999999994,-0.8726050000000019,-1.0624699999999994
complex_000170,r1,0.4784490000000012,1.9451811666666647,-8.0643325,-9.4501275,-7.5858835,-7.504946333333334,-1.4667321666666635,1.3857949999999999,-0.08093716666666584
complex_000170,r2,1.4107181666666673,1.5047661666666663,-9.0003515,-8.653231,-7.589633333333333,-7.148464833333334,-0.09404799999999902,-0.34712050000000083,-0.44116849999999896
complex_000177,r0,-0.3236986666666661,1.406734666666667,-7.1723805,-6.9263405,-7.496079166666666,-5.519605833333333,-1.730433333333333,-0.24603999999999981,-1.9764733333333329
complex_000177,r1,-0.1875184999999994,1.4950376666666676,-7.002061500000001,-7.518778500000001,-7.18958,-6.023740833333333,-1.682556166666667,0.5167169999999999,-1.1658391666666672
complex_000177,r2,-0.2990728333333328,2.136044333333333,-7.387956,-7.496487,-7.687028833333333,-5.360442666666667,-2.4351171666666658,0.10853100000000016,-2.326586166666666
complex_000179,r0,1.518917666666666,0.7109948333333325,-8.613904,-8.5535185,-7.094986333333334,-7.842523666666667,0.8079228333333335,-0.06038550000000065,0.7475373333333328
complex_000179,r1,1.7164528333333342,0.5862984999999998,-8.829826,-8.3634475,-7.113373166666666,-7.777149,1.1301543333333344,-0.46637850000000114,0.6637758333333332
complex_000179,r2,1.3970341666666677,0.5539958333333335,-8.3736095,-7.9516785,-6.976575333333333,-7.397682666666666,0.8430383333333342,-0.4219310000000007,0.4211073333333335
complex_000191,r0,-0.6091031666666673,-1.570794833333334,-5.5621345,-4.993955,-6.171237666666667,-6.564749833333334,0.9616916666666666,-0.5681795000000003,0.39351216666666655
complex_000191,r1,-0.8022521666666673,-1.1653095000000002,-4.8617655,-4.7221905,-5.664017666666667,-5.8875,0.3630573333333329,-0.13957499999999978,0.22348233333333312
complex_000191,r2,-0.3932015000000008,-1.5942586666666676,-5.4571785,-5.2812245,-5.85038,-6.875483166666667,1.2010571666666667,-0.17595399999999994,1.0251031666666668
complex_000193,r0,0.1210021666666669,-0.2030043333333333,-6.594239,-6.548545,-6.473236833333333,-6.751549333333333,0.3240065000000002,-0.04569400000000012,0.2783125000000002
complex_000193,r1,0.1389818333333332,-0.0496486666666671,-6.4303725,-6.153513,-6.291390666666667,-6.203161666666667,0.18863050000000028,-0.2768594999999996,-0.08822899999999922
complex_000193,r2,0.1299841666666656,-0.2037161666666662,-6.3730875,-5.908761,-6.243103333333334,-6.112477166666666,0.3337003333333318,-0.4643264999999994,-0.1306261666666675
complex_000223,r0,-2.0358938333333336,-1.3997296666666663,-5.3802635,-4.8534235,-7.416157333333333,-6.253153166666666,-0.6361641666666673,-0.52684,-1.1630041666666662
complex_000223,r1,-2.424244833333333,-1.4075031666666673,-5.217067,-4.9856485,-7.641311833333333,-6.393151666666667,-1.0167416666666655,-0.2314185000000002,-1.2481601666666657
complex_000223,r2,-1.8676819999999996,-1.2735509999999994,-4.8845755,-4.9632890000000005,-6.7522575,-6.23684,-0.5941310000000002,0.0787135000000001,-0.5154174999999999
complex_000236,r0,-0.1365256666666656,0.839074833333334,-8.1707505,-8.578115,-8.307276166666666,-7.739040166666666,-0.9756004999999996,0.4073644999999999,-0.5682359999999997
complex_000236,r1,0.7041317500000002,0.8938940000000004,-8.7127645,-8.385795,-8.00863275,-7.491900999999999,-0.18976225000000024,-0.3269695000000006,-0.5167317500000017
complex_000236,r2,0.3057853333333327,0.6553911666666661,-8.5262295,-8.1367245,-8.220444166666667,-7.481333333333334,-0.3496058333333334,-0.38950499999999977,-0.7391108333333332
complex_000266,r0,0.3240129999999999,0.1296043333333338,-8.2094995,-7.75107,-7.8854865,-7.621465666666666,0.1944086666666661,-0.4584294999999994,-0.26402083333333426
complex_000266,r1,0.5452122500000005,0.100481666666667,-7.742801,-6.9815055,-7.19758875,-6.881023833333333,0.4447305833333335,-0.7612955000000001,-0.31656491666666753
complex_000266,r2,0.060086833333333,0.3100164999999997,-7.648854,-8.07231,-7.588767166666667,-7.7622935,-0.2499296666666667,0.42345599999999983,0.17352633333333323
complex_000269,r0,-1.0430665,-0.7712093333333332,-5.9713715,-6.174806,-7.014438,-6.946015333333333,-0.2718571666666667,0.20343450000000018,-0.06842266666666674
complex_000269,r1,-1.1308093333333329,-0.6221010000000007,-6.3374195,-6.3645745,-7.468228833333333,-6.9866755000000005,-0.5087083333333322,0.027154999999999596,-0.4815533333333324
complex_000269,r2,-0.6511936666666669,-0.3764553333333333,-6.355243,-5.94879,-7.006436666666667,-6.325245333333333,-0.2747383333333336,-0.40645299999999995,-0.6811913333333335
complex_000292,r0,-0.2618201666666664,-0.441415833333334,-5.9545355,-5.899373,-6.216355666666667,-6.340788833333334,0.1795956666666676,-0.05516250000000067,0.12443316666666693
complex_000292,r1,-0.3055975000000011,-0.4553389999999995,-5.637979,-6.043874000000001,-5.943576500000001,-6.499213,0.14974149999999842,0.405895000000001,0.5556364999999994
complex_000292,r2,-0.224329,-0.5926028333333333,-5.511603,-5.61794,-5.735932,-6.210542833333333,0.3682738333333333,0.1063369999999999,0.4746108333333332
complex_000305,r0,0.6743981666666663,0.2556325000000008,-8.053401,-8.3344585,-7.379002833333333,-8.078826,0.4187656666666655,0.28105750000000107,0.6998231666666666
complex_000305,r1,0.8711261666666674,0.1501246666666666,-8.56117,-7.8077195,-7.690043833333333,-7.657594833333333,0.7210015000000009,-0.7534505000000005,-0.032449000000000616
complex_000305,r2,0.6942283333333332,0.3125741666666659,-8.298584,-7.9225325,-7.604355666666667,-7.609958333333334,0.38165416666666735,-0.3760515,0.005602666666667311
complex_000335,r0,-1.0370153333333336,-0.4505423333333329,-5.847036,-5.530666,-6.884051333333334,-5.981208333333333,-0.5864730000000007,-0.31637000000000004,-0.9028430000000007
complex_000335,r1,-1.038474166666667,-0.5718725000000004,-5.4036015,-5.8151765,-6.442075666666667,-6.387049,-0.4666016666666666,0.411575,-0.05502666666666656
complex_000335,r2,-0.8946881666666666,-0.6330378333333329,-5.406519,-6.084266,-6.301207166666667,-6.717303833333333,-0.26165033333333376,0.6777470000000001,0.41609666666666634
complex_000363,r0,0.3197318333333321,2.495199666666667,-9.1346555,-9.3681465,-8.814923666666667,-6.872946833333333,-2.175467833333335,0.23349100000000078,-1.9419768333333343
complex_000363,r1,0.2629413333333339,2.4281281666666663,-9.1691585,-9.499791,-8.906217166666666,-7.071662833333334,-2.1651868333333324,0.3306325000000001,-1.8345543333333323
complex_000363,r2,0.5879313333333336,2.441032333333334,-9.2929815,-9.3328225,-8.705050166666666,-6.8917901666666666,-1.8531010000000006,0.0398410000000009,-1.8132599999999996
